Anime List
Chihayafuru 
Chihayafuru Season 2 
Chihayafuru Season 3 
Chio-chan no Tsuugakuro 
Chou Kadou Girl 1/6 
Choujigen Game Neptune The Animation 
Choyoyu 
Chuubyou Gekihatsu Boy 
Chuunibyou demo Koi ga Shitai 
Chuunibyou demo Koi ga Shitai! Season 2 
Circlet Princess 
Citrus 
Clannad 
Clannad Season 2 
Claymore 
Clockwork Planet 
Code Geass 
Code Geass Season 2 
Comet Lucifer 
Comic Girls 
Cop Craft 
Coppelion 
Cross Ange 
D_Cide Traumerei the Animation On-Going
D-Frag! 
Dagashi Kashi 
Dagashi Kashi Season 2 
Daitoshokan no Hitsujikai 
Dakara Boku wa H ga Dekinai 
Danganronpa 3: Mirai-hen 
Danganronpa 3: Zetsubou-hen 
Danganronpa: The Animation 
Danmachi Season 2 
Danmachi Season 3 
Danna ga Nani wo Itteiru ka Wakaranai Ken 
Danna ga Nani wo Itteiru ka Wakaranai Ken Season 2 
Dansai Bunri no Crime Edge 
Danshi Koukousei no Nichijou 
Dantalian no Shoka 
Darker than Black 
Darker than Black Season 2 
Darling in the FranXX 
Darwin's Game 
Date A Live 
Date A Live Season 2 
Date A Live Season 3 
Deadman Wonderland 
Death March kara Hajimaru Isekai Kyousoukyoku 
Death Note 
Death Parade 
Deatte 5-byou de Battle On-Going
Deca-Dence 
Demi-chan wa Kataritai 
Denki-gai no Honya-san 
Denpa Kyoushi 
Denpa Onna to Seishun Otoko 
Densetsu no Yuusha no Densetsu 
Devil May Cry 
Devil Survivor 2 The Animation 
Devilman Crybaby 
Devils Line 
Diabolik Lovers 
Diabolik Lovers Season 2 
Dimension W 
Dog Days 
Domestic na Kanojo 
Donten ni Warau 
Dorohedoro 
Dororo 
"Doukyonin wa Hiza, Tokidoki, Atama no Ue. "
Dr. Stone 
Dr. Stone Season 2 
Dragon Crisis! 
Dragon Quest On-Going
"Dragon, Ie wo Kau "
Drifters 
Dumbbell Nan Kilo Moteru? 
DanMachi 
Danmachi Gaiden: Sword Oratoria 
Durarara!! 
Durarara!! Season 4 
Durarara!! Season 2 
Durarara!! Season 3 
Edens Zero On-Going
Egao no Daika 
Eizouken ni wa Te wo Dasu na! 
Elfen Lied 
Endride 
Endro~! 
Enen no Shouboutai 
Enen no Shouboutai Season 2 
Ergo Proxy 
Eromanga-sensei 
Escha & Logy no Atelier 
Etotama 
Fairy Gone 
Fairy Gone Season 2 
Fairy Tail 
Fairy Tail Season 3 
Fate Apocrypha 
Fate/Grand Order: Zettai Majuu Sensen Babylonia 
Fate/kaleid liner Prisma Illya Season 3 
Fate/Kaleid Liner Prisma Illya Season 2 
Fate/kaleid liner Prisma Illya 
Fate Stay Night: Unlimited Blade Works 
Fate Stay Night: Unlimited Blade Works Season 2 
Fate/Zero 
Fate/Zero Season 2 
Flying Witch 
Fortune Arterial 
Free! 
Free! Season 3 
Free! Season 2 
Fruits Basket 
Fruits Basket Season 2 
Fruits Basket Season 3 
Fugou Keiji: Balance:Unlimited 
Fukigen na Mononokean 
Fukigen na Mononokean Season 2 
Full Metal Panic! 
Full Metal Panic Season 3 
Full Metal Panic! Season 2 
Full Metal Panic Fumoffu 
Fullmetal Alchemist 
Fumetsu no Anata e 
Fune wo Amu 
Fuuka 
Gabriel DropOut 
Gakkou Gurashi! 
Gakuen Babysitters 
Gakuen Basara 
Gakusen Toshi Asterisk 
Gakusen Toshi Asterisk Season 2 
Gal to Kyouryuu 
Gamers! 
Gangsta 
Gatchaman Crowds 
Gatchaman Crowds Season 2 
GATE 
Gate Season 2 
Gegege no Kitarou 
Gekidol 
Gekkan Shoujo Nozaki-kun 
Genei wo Kakeru Taiyou 
Genjitsu Shugi Yuusha no Oukoku Saikenki On-Going
Getsuyoubi no Tawawa Season 2 On-Going
Getsuyoubi no Tawawa 
Girlish Number 
Gibiate 
Gin no Saji 
Gin no Saji Season 2 
Ginga Eiyuu Densetsu 
Gingitsune 
Girl Friend Beta 
Girls und Panzer 
Girly Air Force 
GJ-bu 
Gleipnir 
Goblin Slayer 
Gochuumon wa Usagi desu ka? 
Gochuumon wa Usagi desu ka? Season 2 
Gochuumon wa Usagi Desu ka? Season 3 
God Eater 
Godzilla: S.P 
Gokukoku no Brynhildr 
Golden Kamuy 
Golden Kamuy Season 2 
Golden Kamuy Season 3 
Golden Time 
Gosick 
Gotoubun no Hanayome 
Gotoubun no Hanayome Season 2 
Granbelm 
Granblue Fantasy The Animation 
Granblue Fantasy The Animation Season 2 
Grancrest Senki 
Grand Blue 
Great Pretender 
Grimms Notes The Animation 
Grisaia no Kajitsu 
Grisaia no Rakuen 
Gugure! Kokkuri-san 
Guilty Crown 
Gundam Build Fighters 
Gundam Build Fighters Season 2 
Gunjou no Magmel 
Gyakkyou Burai Kaiji Season 2 
Gyakkyou Burai Kaiji 
Hachi-nan tte Sore wa Nai deshou! 
Hachigatsu no Cinderella Nine 
Hagure Yuusha no Aesthetica 
Hai to Gensou no Grimgar 
Haikyuu!! 
Haikyuu!! Season 2 
Haikyuu!! Season 3 
Haikyuu Season 4 
Haiyore! Nyaruko-san 
Haiyore! Nyaruko-san Season 2 
Hajimete no Gal 
Hakata Tonkotsu Ramens 
Hakumei to Mikochi 
Hamatora Season 2 
Hamatora The Animation 
Hamefura 
Hamefura Season 2 
Hanamonogatari 
Hanasaku Iroha 
Hanayamata 
Handa-kun 
Hanebado! 
Hanyou no Yashahime Season 2 On-Going
Happy Sugar Life 
Harukana Receive 
Hataage! Kemono Michi 
Hataraku Maou-sama! 
Hataraku Saibou 
Hataraku Saibou Black (TV) 
Hataraku Saibou Season 2 
Hatena Illusion 
Heavy Object 
Heike Monogatari On-Going
Heion Sedai no Idaten-tachi On-Going
Hellsing Ultimate 
HenSuki 
Heya Camp 
Hibike! Euphonium 
Hibike! Euphonium Season 2 
Hidan no Aria Season 2 
Hidan no Aria 
Higashi no Eden 
Higehiro 
High School DxD 
High School DxD Season 3 
High School DxD Season 4 
High School DxD Season 2 
High School Fleet 
High Score Girl 
High Score Girl Season 2 
Highschool of the Dead 
Higurashi no Naku Koro ni 
Higurashi no Naku Koro ni (2020) 
Higurashi no Naku Koro ni Sotsu On-Going
Himouto! Umaru-chan 
Himouto! Umaru-chan Season 2 
Hinako Note 
Hinamatsuri 
Hitoribocchi no Marumaru Seikatsu 
Hitsugi no Chaika 
Hitsugi no Chaika Season 2 
Honzuki no Gekokujou 
Honzuki no Gekokujou Season 2 
Horimiya 
Hortensia Saga 
Hoshiai no Sora 
Hoshizora e Kakaru Hashi 
Houkago Saikoro Club 
Houkago Teibou Nisshi 
Hourou Musuko 
Houseki no Kuni 
Hunter x Hunter 
Hyakuren no Haou to Seiyaku no Valkyria 
Hyouka 
Ichiban Ushiro no Daimaou 
Ichigo Mashimaro 
ID:Invaded 
"Ijiranaide, Nagatoro-san "
Ikebukuro West Gate Park 
ImoCho 
Imouto sae Ireba Ii 
"Inari, Konkon, Koi Iroha. "
Infinite Dendrogram 
Inou-Battle wa Nichijou-kei no Naka de 
Inu x Boku SS 
Inugami-san to Nekoyama-san 
Inuyashiki 
Irozuku Sekai no Ashita kara 
IS: Infinite Stratos Season 2 
Infinite Stratos 
Isekai Cheat Magician 
Isekai Izakaya 
Isekai Maou to Shoukan Shoujo no Dorei Majutsu 
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Season 2 
Isekai Quartet 
Isekai Quartet Season 2 
Isekai Shokudou 
Isekai Shokudou Season 2 On-Going
Isekai wa Smartphone to Tomo ni 
Island 
Isshuukan Friends 
Isuca 
Iwa Kakeru 
Jahy-sama wa Kujikenai! On-Going
Jaku-Chara Tomozaki-kun 
Jibaku Shounen Hanako-kun 
Jigoku Shoujo 
Jinrui wa Suitai Shimashita 
Jitsu wa Watashi wa 
JoJo Bizarre Adventure 
JoJo Bizarre Adventure: Stardust Crusaders 
JoJo Bizarre Adventure: Stardust Crusaders Season 2 
JoJo Bizarre Adventure Part 4 
JoJo Bizarre Adventure Part 5 
Joker Game 
Jormungand 
Jormungand Season 2 
Joshikausei 
Joshikousei no Mudazukai 
Joshiraku 
Joukamachi no Dandelion 
Jouran: The Princess of Snow and Blood 
Jujutsu Kaisen 
Junketsu no Maria 
Just Because! 
Juuou Mujin no Fafnir 
K-On! 
K-On! Season 2 
K-Project 
K Season 2 
Kabukichou Sherlock 
Kabukimonogatari 
Kageki Shoujo!! On-Going
Kaguya-sama wa Kokurasetai 
Kaguya-sama wa Kokurasetai Season 2 
Kaichou wa Maid-sama! 
Kaifuku Jutsushi no Yarinaoshi 
Kaizoku Oujo On-Going
Kakegurui 
Kakegurui Season 2 
Kakumeiki Valvrave 
Kakumeiki Valvrave Season 2 
Kakuriyo no Yadomeshi 
Kakushigoto 
Kami-tachi ni Hirowareta Otoko 
Kamisama Dolls 
Kamisama Hajimemashita 
Kamisama Hajimemashita Season 2 
Kamisama ni Natta Hi 
Kamisama no Memochou 
Kanata no Astra 
Kandagawa Jet Girls 
Kannagi 
Kanojo ga Flag wo Oraretara 
Kanojo mo Kanojo 
Kanojo Okarishimasu 
KanColle 
Karakai Jouzu no Takagi-san 
Karakai Jouzu no Takagi-san Season 2 
Katanagatari 
Katsute Kami Datta Kemono-tachi e 
Kaze ga Tsuyoku Fuiteiru 
Kaze no Stigma 
Kekkai Sensen Season 2 
Kekkai Sensen 
Kemono Jihen 
Kengan Ashura 
Kenja no Mago 
Keppeki Danshi! Aoyama-kun 
Kill la Kill 
Kimetsu no Yaiba 
Kimi ni Todoke 
Kimi ni Todoke Season 2 
Kimi no Iru Machi 
Kimi no Na wa Movie
Kimisen 
King's Raid: Ishi wo Tsugumono-tachi 
Kingdom 
Kingdom Season 2 
Kingdom Season 3 On-Going
Kiniro Mosaic 
Kiniro Mosaic Season 2 
Kino no Tabi 
Kiseijuu: Sei no Kakuritsu 
Kishuku Gakkou no Juliet 
Kitsutsuki Tanteidokoro 
Kiznaiver 
Kizumonogatari Movie
Kizumonogatari 2 Movie
Kizumonogatari 3 Movie
Knight's & Magic 
Kobayashi-san Chi no Maid Dragon 
Kobayashi-san Chi no Maid Dragon Season 2 
Koe no Katachi Movie
Koi to Producer: EVOL x LOVE 
Koi to Senkyo to Chocolate 
Koi to Uso 
Koikimo 
Koi wa Ameagari no You ni 
Koimonogatari 
Koisuru Asteroid 
Kokoro Connect 
"Komi-san wa, Comyushou desu. On-Going"
Konobi 
Kono Oto Tomare! 
Kono Oto Tomare! Season 2 
Kono Yo no Hate de Koi wo Utau Shoujo YU-NO 
Konohana Kitan 
KonoSuba 
KonoSuba Season 2 
Kore wa Zombie Desu ka? 
Kore wa Zombie Desu ka? Season 2 
Kotoura-san 
Koufuku Graffiti 
Koutetsujou no Kabaneri 
Koyomimonogatari 
Kubikiri Cycle: Aoiro Savant to Zaregototsukai 
Kujira no Kora wa Sajou ni Utau 
Kuma Kuma Kuma Bear 
"Kumo Desu ga, Nani ka? "
Kuroko no Basket 
Kuroko no Basket Season 2 
Kuroko no Basket Season 3 
Kuroko no Basket Last Game Movie
Kuromukuro 
Kuroshitsuji 
Kuroshitsuji Season 2 
Kuroshitsuji Movie: Book of the Atlantic Movie
Kuusen Madoushi Kouhosei no Kyoukan 
Kuutei Dragons 
Kuzu no Honkai 
Kyokou Suiri 
Kyoukai no Kanata 
Kyoukaisenjou no Horizon 
Kyoukaisenjou no Horizon Season 2 
Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara 
Lapis Re:LiGHTs 
Last Period 
Listeners 
Little Busters! 
Little Busters! EX 
Little Busters! Season 2 
Little Witch Academia 
Log Horizon 
Log Horizon Season 2 
Log Horizon Season 3 
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note 
Lost Song 
Love Lab 
Love Live! Nijigasaki Gakuen School Idol Doukoukai 
Love Live! 
Love Live! Season 2 
Love Live! Sunshine!! 
Love Live! Sunshine!! Season 2 
Love Live! Superstar!! On-Going
Lovely Complex 
Machikado Mazoku 
Machine-Doll wa Kizutsukanai 
Madan no Ou to Vanadis 
Made in Abyss 
Magi: Sinbad no Bouken 
Magi: The Kingdom of Magic 
Magi: The Labyrinth of Magic 
Magia Record 
Magia Record Season 2 On-Going
Mahou Sensou 
Mahou Shoujo Ikusei Keikaku 
Mahou Shoujo Madoka Magica 
Mahou Shoujo Ore 
Mahou Shoujo Site 
Mahou Shoujo Tokushusen Asuka 
Mahouka Koukou no Rettousei 
Mahouka Koukou no Rettousei Season 2 
Mahouka Koukou no Yuutousei On-Going
Mahoutsukai no Yome 
Mairimashita! Iruma-kun 
Mairimashita! Iruma-kun Season 2 
Majo no Tabitabi 
Majutsushi Orphen Hagure Tabi 
Manaria Friends 
Mangaka-san to Assistant-san to The Animation 
Maou Gakuin no Futekigousha 
Maou-sama Retry! 
Maoujou de Oyasumi 
Maoyuu Maou Yuusha 
Masamune-kun no Revenge 
Mashiro no Oto 
Mawaru Penguindrum 
Mayo Chiki! 
Mayonaka no Occult Koumuin 
Medaka Box 
Medaka Box Season 2 
Megalo Box 
Megami-ryou no Ryoubo-kun 
Meiji Tokyo Renka 
Meikyuu Black Company 
Mekakucity Actors 
Midara na Ao-chan wa Benkyou ga Dekinai 
Mikakunin de Shinkoukei 
Minami-ke 
Minami-ke Season 3 
Minami-ke Season 2 
Minami-ke Season 4 
Mirai Nikki 
Mitsuboshi Colors 
MM! 
Mob Psycho 100 
Mob Psycho 100 Season 2 
Mondaiji-tachi 
Monster Musume no Oishasan 
Mousou Dairinin 
Mugen no Juunin: Immortal 
Munou na Nana 
Murenase Seton Gakuen 
Musaigen no Phantom World 
Mushishi 
Mushishi Season 2 
Mushishi Season 3 
Mushoku Tensei: Isekai Ittara Honki Dasu 
Muv-Luv Alternative: Total Eclipse 
Nagi no Asukara 
Nakanohito Genome 
Nami yo Kiitekure 
Nanatsu no Taizai 
Nanatsu no Taizai Season 4 
Nanatsu no Taizai Season 2 
Nanatsu no Taizai Season 3 
Nanbaka 
Nanbaka Season 2 
Nande Koko ni Sensei ga!? 
Natsuiro Kiseki 
Natsume Yuujinchou 
Natsume Yuujinchou Season 5 
Natsume Yuujinchou Season 6 
Natsume Yuujinchou Season 3 
Natsume Yuujinchou Season 4 
Natsume Yuujinchou Season 2 
Natsunagu 
Nejimaki Seirei Senki: Tenkyou no Alderamin 
Nekomonogatari: Kuro 
Nekomonogatari: Shiro 
Nekopara 
Net-juu no Susume 
Netoge no Yome wa Onna no Ko ja Nai to Omotta 
New Game! 
New Game! Season 2 
NHK ni Youkoso! 
Nichijou 
Nijiiro Days 
Nisekoi 
Nisekoi Season 2 
Nisemonogatari 
No Game No Life 
No Game No Life: Zero Movie
No Guns Life 
No Guns Life Season 2 
No.6 
Noblesse 
Nobunaga the Fool 
Nobunaga-sensei no Osanazuma 
Nobunagun 
Nodame Cantabile 
Nodame Cantabile Season 3 
Nodame Cantabile Season 2 
Megalo Box Season 2 
Non Non Biyori 
Non Non Biyori Season 3 
Non Non Biyori Season 2 
Nora to Oujo to Noraneko Heart 
Noragami Season 2 
Noragami 
NouCome 
Noukin 
number24 
Nyanko Days 
Occultic Nine 
Ochikobore Fruit Tart 
Oda Cinnamon Nobunaga 
Oda Nobuna no Yabou 
Odd Taxi 
Okaasan online 
One Piece On-Going
One Punch Man 
One Punch Man Season 2 
Oneechan ga Kita 
Oniichan dakedo Ai sae Areba Kankeinai yo ne! 
Onimonogatari 
Ookami Shoujo to Kuro Ouji 
Ookami to Koushinryou 
Ookami to Koushinryou Season 2 
Orange 
Ore dake Haireru Kakushi Dungeon 
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai 
Ore Monogatari 
Oreimo 
Oreimo Season 2 
Oresuki 
Oregairu 
Oregairu Season 3 
Oregairu Season 2 
Oreshura 
Osake wa Fuufu ni Natte kara 
Osamake 
Oshi ga Budoukan Ittekuretara Shinu 
Otorimonogatari 
Ouran Koukou Host Club 
Outbreak Company 
Overlord 
Overlord Season 2 
Overlord Season 3 
Owari no Seraph 
Owari no Seraph Season 2 
Owarimonogatari 
Owarimonogatari Season 2 
Pandora Hearts 
Papa no Iukoto wo Kikinasai! 
Pastel Memories 
Peach Boy Riverside 
Pet 
Phantasy Star Online 2: Episode Oracle 
Phantom: Requiem for the Phantom 
Photokano 
Piano no Mori 
Piano no Mori Season 2 
Ping Pong The Animation 
Planet With 
Plastic Memories 
Plastic Neesan 
Plunderer 
Princess Connect 
Psycho-Pass 
Psycho-Pass Season 2 
Psycho-Pass Season 3 
Qualidea Code 
Quan Zhi Gao Shou 
Radiant 
Radiant Season 2 
Rail Wars 
Rakudai Kishi no Cavalry 
Ramen Daisuki Koizumi-san 
Re-Kan! 
Re-Main On-Going
Re: Zero kara Hajimeru Isekai Seikatsu 
Re:Creators 
Re:Zero kara Hajimeru Isekai Seikatsu Season 2 
Release the Spyce 
ReLIFE 
Renai Boukun 
Rewrite 
Rewrite Season 2 
Rifle Is Beautiful 
RikeKoi 
Robotics Notes 
Rokka no Yuusha 
Rokudenashi Majutsu Koushi to Akashic Records 
Rokujouma no Shinryakusha 
Rosario to Vampire 
Rosario to Vampire Season 2 
Rozen Maiden 
Runway de Waratte 
Ryuugajou Nanana no Maizoukin 
Ryuuou no Oshigoto! 
Sabagebu! 
Saenai Heroine no Sodatekata 
Saenai Heroine no Sodatekata Season 2 
Saijaku Muhai no Bahamut 
Saiki Kusuo no Psi Nan 
Saiki Kusuo no Psi Nan Season 2 
Sakamichi no Apollon 
Sakamoto desu ga? 
Sakura Quest 
Sakura Trick 
Sakurako-san 
Sakurasou no Pet na Kanojo 
Samurai Champloo 
Sankarea 
Sarazanmai 
Satsuriku no Tenshi 
Sayonara Watashi no Cramer 
Scarlet Nexus On-Going
Seijo no Maryoku wa Bannou Desu 
Seiken Tsukai no World Break 
Seikimatsu Occult Gakuin 
Seikoku no Dragonar 
Seirei Gensouki 
Seirei Tsukai no Blade Dance 
Seiren 
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai 
Seitokai Yakuindomo 
Seitokai Yakuindomo Season 2 
Sekirei 
Sekirei Season 2 
Selection Project On-Going
Sengoku Basara 
Sengoku Basara Season 2 
Sengoku Basara Season 3 
Sengoku Otome: Momoiro Paradox 
Senryuu Shoujo 
Sentouin Hakenshimasu! 
Senyoku no Sigrdrifa 
Servant x Service 
Seto no Hanayome 
Seven Knights Revolution: Eiyuu no Keishousha On-Going
Sewayaki Kitsune no Senko-san 
Shachibato 
Shadows House 
Shakugan no Shana 
Shakugan no Shana Season 2 
Shaman King On-Going
Shichisei no Subaru 
Shigatsu wa Kimi no Uso 
Shigofumi 
Shiki 
Shimoneta 
Shin Sakura Taisen the Animation 
Shinchou Yuusha 
Shingeki no Bahamut: Genesis 
Shingeki no Bahamut: Virgin Soul 
Shingeki no Kyojin 
Shingeki no Kyojin OVA 
Shingeki no Kyojin Season 3 
Shingeki no Kyojin Season 2 
Shinigami Bocchan to Kuro Maid 
Shinryaku! Ika Musume 
Shinryaku! Ika Musume Season 2 
Shinsekai yori 
Shirobako 
Shiroi Suna no Aquatope On-Going
Shironeko Project: Zero Chronicle 
Shokugeki no Souma 
Shokugeki no Souma Season 5 
Shokugeki no Souma Season 2 
Shokugeki no Souma Season 3 
Shokugeki no Souma Season 4 
Shomin Sample 
Shoujo Shuumatsu Ryokou 
Shoumetsu Toshi 
SukaSuka 
Shuumatsu no Izetta 
SK8 
Slime Taoshite 300-nen 
Somali to Mori no Kamisama 
Sonny Boy On-Going
Sora no Method 
Sora no Otoshimono 
Sora no Otoshimono Season 2 
Sora yori mo Tooi Basho 
Sore ga Seiyuu! 
Soredemo Machi wa Mawatteiru 
Soredemo Sekai wa Utsukushii 
Soukou Musume Senki 
Sounan Desu ka? 
Sousei no Onmyouji 
SSSS.Dynazenon 
SSSS.Gridman 
Steins;Gate 0 
Steins Gate 
Stella no Mahou 
Strike the Blood 
Strike the Blood Season 2 
Strike Witches 
Subete ga F ni Naru 
Suisei no Gargantia 
Sukitte Ii na yo 
Sunohara-sou no Kanrinin-san 
Super Cub 
Suzumiya Haruhi no Yuuutsu 
Sword Art Online Alternative: Gun Gale Online 
Sword Art Online 
Sword Art Online Movie: Ordinal Scale Movie
Sword Art Online Season 2 
Sword Art Online: Alicization Season 2 
Sword Art Online Season 3 
Taboo Tattoo 
Tada-kun wa Koi wo Shinai 
Taimadou Gakuen 35 Shiken Shoutai 
Tales of Zestiria the X 
Tales of Zestiria the X Season 2 
Tamako Market 
Tamayomi 
Tanaka-kun wa Itsumo Kedaruge 
"Tantei wa Mou, Shindeiru. "
Tasogare Otome x Amnesia 
Tate no Yuusha no Nariagari 
Lasdan 
Tejina-senpai 
Tengen Toppa Gurren Lagann 
Tenkuu Shinpan 
Tensei shitara Slime Datta Ken 
Tensei shitara Slime Datta Ken Season 2 
Tensura Nikki: Tensei shitara Slime Datta Ken 
Terra Formars 
Terra Formars Season 2 
The Idolmaster 
The Idolmaster Cinderella Girls 
The Idolmaster Cinderella Girls Season 2 
The World God Only Knows 
The World God Only Knows Season 2 
The World God Only Knows Season 3 
To LOVE Ru 
To LOVE Ru Darkness 
To LOVE-Ru Darkness Season 2 
To LOVE Ru Season 2 
Toaru Kagaku no Accelerator 
Toaru Kagaku no Railgun 
Toaru Kagaku no Railgun Season 2 
Toaru Kagaku no Railgun Season 3 
Toaru Majutsu no Index 
Toaru Majutsu no Index Season 2 
Toaru Majutsu no Index Season 3 
Tokunana 
Tokyo ESP 
Tokyo Ghoul 
Tokyo Ghoul Season 2 
Tokyo Ghoul Season 3 
Tokyo Ghoul:re Season 2 
Tokyo Magnitude 8.0 
Tokyo Ravens 
Tokyo Revengers On-Going
Tonari no Kaibutsu-kun 
Tonari no Kyuuketsuki-san 
Tonari no Seki-kun 
Tonikaku Kawaii 
Toradora! 
Trinity Seven 
True Tears 
Tsugumomo Season 2 
Tsuki ga Kirei 
Tsuki ga Michibiku Isekai Douchuu 
Tsukimonogatari 
Tsurezure Children 
Tsuritama 
Tsurune: Kazemai Koukou Kyuudoubu 
Uchi no Maid ga Uzasugiru! 
UchiMusume 
Uchitama 
Uchouten Kazoku 
Uchouten Kazoku Season 2 
Ueno-san wa Bukiyou 
Ulysses: Jehanne Darc to Renkin no Kishi 
Uma Musume Pretty Derby 
Uma Musume: Pretty Derby Season 2 
Umineko no Naku Koro ni 
Uramichi Oniisan On-Going
Urara Meirochou 
Urasekai Picnic 
Usagi Drop 
Ushio to Tora 
Ushio to Tora Season 2 
Uzaki-chan wa Asobitai! 
Val x Love 
Vanitas no Karte 
Vinland Saga 
Violet Evergarden 
Vivid Strike 
Vividred Operation 
Vivy 
W'z 
Watamote 
Watashi ga Motete Dousunda 
Watashi ni Tenshi ga Maiorita! 
White Album 2 
Witch Craft Works 
Wizard Barristers 
Wonder Egg Priority 
Working 
Working Season 2 
Working Season 3 
World Trigger Season 2 
Wotaku ni Koi wa Muzukashii 
WWW.Working!! 
Yagate Kimi ni Naru 
Yakunara Mug Cup mo 
Yakusoku no Neverland 
Yakusoku no Neverland Season 2 
Yamada-kun to 7-nin no Majo 
Yatogame-chan Kansatsu Nikki Season 2 
Yesterday wo Utatte 
The Tatami Galaxy 
Youjo Senki 
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 
Yuragi-sou no Yuuna-san 
Yuri Kuma Arashi 
Yuri on Ice 
Yuru Camp 
Yuru Camp△ Season 2 
Yuru Yuri 
Yuru Yuri Season 3 
Yuru Yuri Season 2 
Z/X Code Reunion 
Zankyou no Terror 
Zero kara Hajimeru Mahou no Sho 
Zero no Tsukaima 
Zero no Tsukaima Season 4 
Zero no Tsukaima Season 2 
Zero no Tsukaima Season 3 
Zetsuen no Tempest 
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke 
Zoku Owarimonogatari 
Zombieland Saga 
Zombieland Saga Season 2 On-Going
